engine_name,mtow,representative_airframe,expected_category,source
ARRIEL 1A1,3400.0,SA365C1 Dauphin 2,TWIN_TURBOSHAFT_LIGHT,"Wikipedia AS365 Dauphin: SA365C with Arriel 1A1, 3400 kg MTOW; EASA TCDS E.073 confirms Arriel 1A1 for twin-engine use"
ARRIEL 1A2,3400.0,SA365C2 Dauphin 2,TWIN_TURBOSHAFT_LIGHT,Wikipedia AS365 Dauphin: SA365C2 with Arriel 1A2; same airframe family as SA365C1 (3400 kg)
ARRIEL 1C,3850.0,SA365N Dauphin 2,TWIN_TURBOSHAFT_HEAVY,"Wikipedia AS365 Dauphin: SA365N (initial) with 660 shp Arriel 1C, MTOW 3850 kg (later raised to 4000 kg)"
ARRIEL 1C1,4100.0,AS365N1 Dauphin 2,TWIN_TURBOSHAFT_HEAVY,"Wikipedia AS365 Dauphin: AS365N1 with 705 shp Arriel 1C1, MTOW 4100 kg"
ARRIEL 1D1,2600.0,AS355N Twin Squirrel,TWIN_TURBOSHAFT_LIGHT,Arriel 1D1 at 712 SHP in twin config goes on AS355N Ecureuil 2 / Twin Squirrel (airframe CSV: AS-355 = 2600 kg). Note: also used as single on AS350B2 at 732 SHP (different row in CSV)
ARRIEL 1E2,3585.0,MBB-BK 117 C1 / EC145,TWIN_TURBOSHAFT_HEAVY,FAA AD 2009-12-51 and StandardAero: Arriel 1E2 on Eurocopter Deutschland MBB-BK117-C1. Helicopter Specs: BK117-C1/C2 MTOW 3350-3585 kg
ARRIEL1K1,2720.0,Agusta A109K2,TWIN_TURBOSHAFT_LIGHT,TAR 15/21B/3 Aviation.govt.nz: Arriel 1K1 is used on Agusta A109K2; A109K2 MTOW 2720 kg
ARRIEL 2C,4300.0,AS365 N3 Dauphin 2,TWIN_TURBOSHAFT_HEAVY,"Wikipedia AS365 Dauphin: AS365 N3 with 851 shp Arriel 2C, MTOW 4300 kg"
ARRIEL 2C1,4800.0,EC155 B,TWIN_TURBOSHAFT_HEAVY,"Globalmilitary.net EC155 B: Arriel 2C1, MTOW 4800 kg (Dauphin N3 family derivative)"
ARRIEL 2C2,4950.0,EC155 B1 / HH-65C,TWIN_TURBOSHAFT_HEAVY,"Wikipedia EC155: B1 with Arriel 2C2, MTOW 4950 kg. Also HH-65C (Arriel 2C2-CG) at 4300 kg; we use the civilian EC155 B1 value"
ARRIEL 2S1,5307.0,Sikorsky S-76C+,TWIN_TURBOSHAFT_HEAVY,"Wikipedia S-76: S-76C+ with Arriel 2S1 + FADEC, MTOW 5307 kg"
ARRIUS 1A,2540.0,AS355 F Ecureuil 2 / EC135 early prototype,TWIN_TURBOSHAFT_LIGHT,EASA TCDS E.080: Arrius 1/1A1 for twin-engines helicopters. Arrius 1A was used on early EC355 (AS355 F2) derivatives; AS355 MTOW ~2540 kg
ARRIUS 2B1,2720.0,EC135 T1,TWIN_TURBOSHAFT_LIGHT,"Wikipedia EC135: T1 with 435 kW (583 shp) Arrius 2B1, initial MTOW 2630 kg, later 2720 kg"
ARRIUS 2B2,2910.0,EC135 T2 / T2+,TWIN_TURBOSHAFT_LIGHT,"Wikipedia/Skybrary EC135: T2 and T2+ with Arriel 2B2, MTOW 2910-2950 kg"
ARRIUS 2K,2850.0,Agusta A109 Power / AW109 Power,TWIN_TURBOSHAFT_LIGHT,Safran: Arrius 2K2 drives the AW109 Power. AW109 Power MTOW 2850 kg
PW206A,2850.0,Agusta A109 Power (early),TWIN_TURBOSHAFT_LIGHT,P&W PW200 page: PW206A for Agusta A109. A109 Power MTOW 2850 kg
PW206C,2850.0,Agusta A109 E Power,TWIN_TURBOSHAFT_LIGHT,"P&W PW200 page: PW206C for Leonardo A109E Power. Confirmed by FOCA 2015 Appendix B validation (A109E, PW206C, 2850 kg MTOW)"
PW207C,3175.0,Leonardo A109 Grand / AW109 Nexus,TWIN_TURBOSHAFT_LIGHT,P&W PW200 page: PW207C for Leonardo A109 Grand and AW109 Nexus. A109 Grand MTOW 3175 kg
PT6B-36A,5307.0,Sikorsky S-76B,TWIN_TURBOSHAFT_HEAVY,"Wikipedia S-76: S-76B with PT6B-36A or PT6B-36B, MTOW 5307 kg"
PT6C-67C,6400.0,AgustaWestland AW139,TWIN_TURBOSHAFT_HEAVY,"Wikipedia/SKYbrary AW139: two PT6C-67C, MTOW 6400 kg (original) or 6800/7000 kg (uprated). We use 6400 kg as the baseline"
PT6T-3,5080.0,Bell 212 Twin Huey,TWIN_TURBOSHAFT_HEAVY,"Wikipedia/SKYbrary Bell 212: PT6T-3 Twin-Pac (two power sections, combined 1800 shp), MTOW 5080 kg. Note: the heli CSV lists PT6T-3 with n_engines=2 treating each power section as one engine"
DDA250-C20,2300.0,MBB Bo 105 C (initial),TWIN_TURBOSHAFT_LIGHT,"Wikipedia Bo 105: Bo 105C with Allison 250-C20, MTOW ~2300 kg (later raised to 2400 kg)"
DDA250-C20B,2500.0,MBB Bo 105 CB / CBS,TWIN_TURBOSHAFT_LIGHT,"Wikipedia/SKYbrary Bo 105: Bo 105CB/CBS with 420 shp Allison 250-C20B, MTOW 2500 kg"
DDA250-C20F,2500.0,MBB Bo 105 CBS,TWIN_TURBOSHAFT_LIGHT,Bo 105 variant; DDA250-C20F is a minor subvariant on Bo 105 family. MTOW 2500 kg
DDA250-C20R,2500.0,MBB Bo 105 LS A1 (Canada),TWIN_TURBOSHAFT_LIGHT,Bo 105 variant with C20R variant of Allison 250. MTOW 2500 kg (LS A1); later LS A3 Superlifter was 2850 kg
DDA250-C20R/1,2600.0,MBB Bo 105 LS A3,TWIN_TURBOSHAFT_LIGHT,"Wikipedia Bo 105: LS A3 (1986) with DDA250-C20R variants, MTOW 2600 kg"
DDA250-C30S,5307.0,Sikorsky S-76A (original),TWIN_TURBOSHAFT_HEAVY,Wikipedia S-76: Original S-76A used Allison 250-C30 engines; DDA250-C30S is the 650-shp twin subvariant. S-76 MTOW 5307 kg
DDA250-C40B,2835.0,MD Explorer 900 (early),TWIN_TURBOSHAFT_LIGHT,DDA 250-C40B at 715 SHP — used in MD Explorer 900 early variants before switchover to PW207E. MD 900 MTOW 2835 kg
